StoreID,StoreName,City,State,OpenDate
1,Store_1,West Kevin,Maryland,2023-10-26
2,Store_2,North Abigailton,Wisconsin,2025-08-24
3,Store_3,Mariaside,Virginia,2020-11-26
4,Store_4,South Marisastad,New York,2021-07-24
5,Store_5,Shannonstad,Montana,2020-10-08
6,Store_6,Lake Travis,Alaska,2024-05-21
7,Store_7,Port Vanessaside,Washington,2020-03-11
8,Store_8,West Margaret,Illinois,2024-01-13
9,Store_9,New Cynthiafurt,Nebraska,2018-04-28
10,Store_10,East Christopher,West Virginia,2021-11-12
11,Store_11,Port Robertport,California,2022-07-16
12,Store_12,West Charles,Nevada,2021-07-22
13,Store_13,West Stevenland,Alaska,2023-01-12
14,Store_14,Nathanborough,Montana,2024-04-18
15,Store_15,Perryberg,Virginia,2017-07-06
16,Store_16,North Krystalside,Tennessee,2023-06-28
17,Store_17,Garyfort,Michigan,2026-02-12
18,Store_18,West Lorraine,Montana,2018-12-02
19,Store_19,West Lawrence,Minnesota,2019-02-07
20,Store_20,Durhamshire,Mississippi,2019-07-29
